Name,Index,InnerIndex,Desc,Emotion,Text
name,,,,,Yuriko
d_place,,,,,Unknown
d_tokki,0,,,,High abilities & strong influence. Stands out.
d_tokki,1,,,,"Cyberized shrine maiden of the ""Hoshibune"" spaceship."
d_tokki,2,,,,Escaped from the Hoshibune; will be killed if caught.
d_tokki,3,,,,Knows the truth about what Gnos really is.
d_tokki,4,,,,Gnos is actually an assembly of cyberized humans.
d_tokki,5,,,,Able to interfere with & distort human perception.
d_tokki,6,,,,Three Sizes 7
t_keisho,,,,,
t_aisatu,0,,,Neutral,"My name is {0}. A pleasure, I'm sure."
t_suspect,0,,,Neutral,{0} is unneeded and should be frozen.
t_suspect,1,,,Thinking,"How loud and boisterous...
Shut {0} up."
t_suspect,2,,,Smug,"Hehe, {0}.
It must be fun making everyone dance to your tune."
t_suspect,3,,,Smug,"Is this some sort of sabotage, {0}?
Heh, do you think this will be overlooked?"
t_suspect,4,,,Surprised,"If we freeze those who are to be viewed with suspicion...
{0}. It's your turn."
t_suspect,5,,,Surprised,"Excuse me, {0}. Just what is it that you want?
Decimation of the humans aboard this ship?"
t_suspect,6,,,Thinking,"This is as far as it goes...
I'm finished with {0}. Freeze them, kill them, do as you like."
t_suspect,7,,,Happy,"Excuse me, {0}.
Are you happy that {1} has been done away with?"
t_suspect_r,0,,,Annoyed,"We have no more use for you, {0}. Be gone."
t_suspect_r,1,,,Annoyed,"You seem to greatly overestimate the usefulness of your tongue.
{0}, silence it for the time being."
t_suspect_r,2,,,Annoyed,"{0} is to hereby be cut off.
Those who distrust {0}, continue to do so."
t_suspect_r,3,,,Surprised,"Hoping to remain quiet and await the storm's passing?
{0}, the storm will not pass you over gently."
t_suspect_r,4,,,Neutral,"{0}, you've no one to blame but yourself for being distrusted.
Prove us wrong."
t_suspect_r,5,,,Neutral,"Are you misunderstanding something, {0}?
I've never trusted you to begin with."
t_suspect_r,6,,,,...
t_suspect_r,7,,,,...
t_suspect_add,0,,,Neutral,"Are we confused as to whom should be doubted?
Then let it be {0}."
t_suspect_t0,0,,,Neutral,To lose {0} would not prove to be much of a loss at all.
t_suspect_t0,1,,,Smug,"Without {0}, it would certainly be more quiet."
t_suspect_t0,2,,,Happy,"Hehe, it ends here, {0}.
Is there anyone left who would still trust you?"
t_suspect_t0,3,,,Smug,"Hehe, why not just stay quiet and be gone?"
t_suspect_t0,4,,,Neutral,"Distrust of {0} is the correct path.
Stay on it."
t_suspect_t0,5,,,Smug,"Hehe, {0}.
Being distrusted is itself a sin, you know."
t_suspect_t0,6,,,Happy,"Hehe, {0}.
Curse yourself for your foul ways."
t_suspect_t1,0,,,Hurt,No question. Let {0} be removed immediately.
t_suspect_t1,1,,,Neutral,"{0}, your time is over.
Back down, now."
t_suspect_t1,2,,,Happy,"Did you feel you were moving smoothly?
Hehe, your path has proven rough, {0}."
t_suspect_t1,3,,,Hurt,"Those for whom we have no use may freeze.
It's that simple."
t_suspect_t1,4,,,Annoyed,I have no reason to question distrust of {0}.
t_suspect_t1,5,,,Thinking,"So the next sacrifice is to be {0}...
I see. I have no objection."
t_suspected0,0,,,Neutral,Are you satisfied now...?
t_suspected0,1,,,Neutral,...
t_hanron0,0,,,Happy,"Would {0} be your sacrificial lamb?
Even if {0} bears no burden of sin?"
t_hanron0,1,,,Thinking,"So you doubt {0}...
The fate of this ship will be lamentable."
t_hanron1,0,,,Annoyed,"I have no objection to doubting {0}... However.
No further. Freezing {0} will prove problematic."
t_hanron_t0,0,,,Annoyed,"Cast constant doubt upon others, and it will come back to you."
t_hanron_t1,0,,,Neutral,"For {0}, I believe we can make an exception."
t_trust,0,,,Hurt,"I entrust my fate to {0}.
Even if {0} were to end up leading this ship to its doom."
t_trust,1,,,Annoyed,Reason dictates that we should not yet doubt {0}.
t_trust,2,,,Neutral,{0}. I hold high expectations of you.
t_trust_r,0,,,Smug,"Freezing {0} is not the answer.
Let them continue to dance."
t_trust_r,1,,,Neutral,"Would you like a logical choice?
Then do away with suspicions of {0}."
t_trust_r,2,,,Surprised,"Allow {0} to do as they please.
Casting doubt is a waste of time."
t_trust_t0,0,,,Surprised,It would be a mistake to cut off {0}.
t_trust_t1,0,,,Thinking,"Yes...
{0}'s efforts should be allowed to continue."
t_trusted0,0,,,Neutral,Hmph... Do as you please.
t_thanron0,0,,,Surprised,Does {0} really hold that much value?
t_thanron1,0,,,Neutral,"Trust {0}, you say...?
Allow me to ask again. Right now, you really want us to trust {0}?"
t_thanron_t0,0,,,Thinking,Cling onto {0} and you will only go down with them.
t_thanron_t1,0,,,Surprised,Now is not the time to trust {0}.
t_hosho,0,,,Neutral,"{0} has proven to be {1}.
No more opinions on {0} are needed."
t_hosho,1,,,Neutral,"Clearly, {0} is human.
There is no danger in leaving them be."
t_hosho_enemy,0,,,Neutral,"You're going to need to work on your acting ability to play a {1}, {0}.
You've clearly failed. Leave."
t_hosho_enemy,1,,,Neutral,{0} is {1}. To the freezer.
t_hosho_enemy,2,,,Neutral,"{0} is {1}.
Not even worth the effort to freeze..."
t_hosho_enemy,3,,,Hurt,"{0}, you should no exist.
You are {1}, a cause of disorder in this world."
t_hosho_enemy,4,,,Smug,"You've made a fatal mistake, {0}.
Your inconsistencies in speech and behavior have proven to be your downfall."
t_hosho_enemy,5,,,Surprised,"{0} is an impostor. While certainly not Gnosia, they must be frozen."
t_hosho_miss,0,,,Happy,"Hehe, you've failed, {0}.
Your assertion cannot be proven, can it?"
t_hosho_miss,1,,,Thinking,You say this as if we aren't already fully aware...
t_hosho_get,0,,,Annoyed,Exactly. There is absolutely no reason for doubt.
t_hosho_get,1,,,Neutral,That is correct...
t_tohyo_go,0,,,Annoyed,"It is clear whom we need to freeze.
Let the vote commence."
t_tohyo_mae,0,,,Neutral,"Now, let us decide on whom we freeze.
This vote may be barbaric, but it serves our purpose."
t_tohyo_sai,0,,,Happy,"We will vote again, among {0}.
Do you all look forward to the results as much as I?"
t_shokei,0,,,Thinking,Damned humans...
t_shokei,1,,,Annoyed,It was inevitable. Off to the deep freeze.
t_wakare,0,,,Thinking,You serve no purpose anyhow.
t_karare,0,,,Neutral,"{0}...
Hehe, do as you please.
This will change nothing..."
